issuerName,issuerTicker,txType,tradeValue,reportingGap,Description,pubDate,filingDate,txDate,value,gender,firstName,lastName,party,owner,chamber,price,filingURL,comment
BITCOIN,$BTC,buy,50K–100K,52.0,Cynthia Lummis bought $75000 of BITCOIN ($BTC) on 2021-08-16. She filed the trade after 52 days.,2021-10-09T00:00:00Z,2021-10-07,2021-08-16,,female,Cynthia,Lummis,republican,self,senate,,https://efdsearch.senate.gov/search/view/ptr/1124fac7-7277-4328-8740-fbaceeaac1b5/,Exchange/Platform: River
Construction Partners Inc,ROAD:US,sell,50K–100K,34.0,Mark Warner sold $75000 of Construction Partners Inc (ROAD:US) on 2021-10-14. He filed the trade after 34 days.,2021-11-19T00:00:00Z,2021-11-17,2021-10-14,,male,Mark,Warner,democrat,self,senate,,https://efdsearch.senate.gov/search/view/ptr/1abf71df-3cf3-47b5-9f8f-16ca358a157e/,"Shares received from SunTx Fulcrum Fund, L.P. - Construction Partners, Inc. (dba SunTx CPI Growth Company, Inc.)"
W L GORE \u0026 ASSOCIATES INC,,sell,1K–15K,20.0,Chris Coons sold $8000 of W L GORE & ASSOCIATES INC on 2021-11-09. He filed the trade after 20 days.,2021-12-01T00:00:00Z,2021-11-29,2021-11-09,,male,Christopher,Coons,democrat,child,senate,,https://efdsearch.senate.gov/search/view/ptr/36b58614-d07b-408b-8ff9-b5846cbe801d/,Gorfam Inc. sold stock to benefit another shareholder. Child received only funds to cover taxes.
W L GORE \u0026 ASSOCIATES INC,,sell,1K–15K,20.0,Chris Coons sold $8000 of W L GORE & ASSOCIATES INC on 2021-11-09. He filed the trade after 20 days.,2021-12-01T00:00:00Z,2021-11-29,2021-11-09,,male,Christopher,Coons,democrat,child,senate,,https://efdsearch.senate.gov/search/view/ptr/36b58614-d07b-408b-8ff9-b5846cbe801d/,Gorfam Inc. sold stock to benefit another shareholder. Child received only funds to cover taxes.
JPMorgan Chase \u0026 Co,JPM:US,buy,15K–50K,12.0,Tom Carper bought $32500 of JPMorgan Chase & Co (JPM:US) on 2021-12-23. He filed the trade after 12 days.,2022-01-04T18:06:52Z,2022-01-04,2021-12-23,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/41868f55-ad42-4855-9aca-1764a05fb956/,Rate/Coupon: 8.0% Matures: 12/27/2024
Alibaba Group Holding Ltd,BABA:US,sell,50K–100K,20.0,Tommy Tuberville sold $75000 of Alibaba Group Holding Ltd (BABA:US) on 2021-12-23. He filed the trade after 20 days.,2022-01-12T21:23:33Z,2022-01-12,2021-12-23,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,
Alibaba Group Holding Ltd,BABA:US,buy,15K–50K,22.0,Tommy Tuberville bought $32500 of Alibaba Group Holding Ltd (BABA:US) on 2021-12-21. He filed the trade after 22 days.,2022-01-12T21:23:33Z,2022-01-12,2021-12-21,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/0985f3bb-3c7d-4c95-984e-5acfa9541f94/,
Pfizer Inc,PFE:US,buy,1K–15K,31.0,Jerry Moran bought $8000 of Pfizer Inc (PFE:US) on 2021-12-21. He filed the trade after 31 days.,2022-01-21T20:40:29Z,2022-01-21,2021-12-21,,male,Gerald,Moran,republican,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,
Pfizer Inc,PFE:US,buy,1K–15K,31.0,Jerry Moran bought $8000 of Pfizer Inc (PFE:US) on 2021-12-21. He filed the trade after 31 days.,2022-01-21T20:40:29Z,2022-01-21,2021-12-21,,male,Gerald,Moran,republican,self,senate,,https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,
Citigroup Inc,C:US,sell,1K–15K,16.0,Tom Carper sold $8000 of Citigroup Inc (C:US) on 2022-01-18. He filed the trade after 16 days.,2022-02-03T19:25:00Z,2022-02-03,2022-01-18,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,
SPDR S\u0026P Bank ETF,KBE:US,buy,1K–15K,16.0,Tom Carper bought $8000 of SPDR S&P Bank ETF (KBE:US) on 2022-01-18. He filed the trade after 16 days.,2022-02-03T19:25:00Z,2022-02-03,2022-01-18,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,
BITCOIN,$BTC,buy,15K–50K,10.0,Ted Cruz bought $32500 of BITCOIN ($BTC) on 2022-01-25. He filed the trade after 10 days.,2022-02-04T23:10:20Z,2022-02-04,2022-01-25,,male,Rafael,Cruz,republican,self,senate,,https://efdsearch.senate.gov/search/view/ptr/fcb0d9dc-aba4-4fa0-a15b-afed9107a34a/,Exchange/Platform: River
Robinhood Markets Inc,HOOD:US,sell,15K–50K,56.0,Richard Blumenthal sold $32500 of Robinhood Markets Inc (HOOD:US) on 2021-12-08. He filed the trade after 56 days.,2022-02-07T21:33:25Z,2022-02-02,2021-12-08,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/01d98c63-1737-4bfd-b6eb-1e429dc16c1b/,"On 12/8/21, A-RH, a series of A-ST Opp Funds distributed Robinhood Markets Common Stock"
Robinhood Markets Inc,HOOD:US,sell,250K–500K,56.0,Richard Blumenthal sold $375000 of Robinhood Markets Inc (HOOD:US) on 2021-12-08. He filed the trade after 56 days.,2022-02-07T21:33:25Z,2022-02-02,2021-12-08,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/01d98c63-1737-4bfd-b6eb-1e429dc16c1b/,"On 12/8/21, A-RH, a series of A-ST Opp Funds distributed Robinhood Markets Common Stock"
Alibaba Group Holding Ltd,BABA:US,buy,15K–50K,31.0,Tommy Tuberville bought $32500 of Alibaba Group Holding Ltd (BABA:US) on 2022-01-14. He filed the trade after 31 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-14,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities. Option Type: Put Strike price: 245.00 Expires: 01/21/2022"
Alibaba Group Holding Ltd,BABA:US,buy,15K–50K,31.0,Tommy Tuberville bought $32500 of Alibaba Group Holding Ltd (BABA:US) on 2022-01-14. He filed the trade after 31 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-14,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities. Option Type: Put Strike price: $230.00 Expires: 09/16/2022"
Alibaba Group Holding Ltd,BABA:US,buy,50K–100K,31.0,Tommy Tuberville bought $75000 of Alibaba Group Holding Ltd (BABA:US) on 2022-01-14. He filed the trade after 31 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-14,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities. Option Type: Put Strike price: $230.00 Expires: 09/16/2022"
Lockheed Martin Corp,LMT:US,sell,15K–50K,24.0,Tommy Tuberville sold $32500 of Lockheed Martin Corp (LMT:US) on 2022-01-21. He filed the trade after 24 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-21,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,
Tyson Foods Inc,TSN:US,sell,15K–50K,24.0,Tommy Tuberville sold $32500 of Tyson Foods Inc (TSN:US) on 2022-01-21. He filed the trade after 24 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-21,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,
Raytheon Technologies Corp,RTX:US,sell,1K–15K,31.0,Tommy Tuberville sold $8000 of Raytheon Technologies Corp (RTX:US) on 2022-01-14. He filed the trade after 31 days.,2022-02-15T01:19:25Z,2022-02-14,2022-01-14,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,
Construction Partners Inc,ROAD:US,sell,100K–250K,18.0,Mark Warner sold $175000 of Construction Partners Inc (ROAD:US) on 2022-01-31. He filed the trade after 18 days.,2022-02-18T22:31:54Z,2022-02-18,2022-01-31,,male,Mark,Warner,democrat,self,senate,,https://efdsearch.senate.gov/search/view/ptr/eabaeaaf-6bf6-45bd-9be6-4929fba3647c/,"Shares received from SunTx Fulcrum Fund, L.P. - Construction Partners, Inc. (dba SunTx CPI Growth Company, Inc.)"
AMYRIS INC,AMRS:US,sell,50K–100K,36.0,Dianne Feinstein sold $75000 of AMYRIS INC (AMRS:US) on 2022-01-10. She filed the trade after 36 days.,2022-02-18T22:31:51Z,2022-02-15,2022-01-10,,female,Dianne,Feinstein,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/676e1821-b88d-46d9-ab48-15363c5b8405/,
COMMODORE CAPITAL DOMESTIC LP,,buy,250K–500K,31.0,Richard Blumenthal bought $375000 of COMMODORE CAPITAL DOMESTIC LP on 2022-01-31. He filed the trade after 31 days.,2022-03-10T23:45:26Z,2022-03-03,2022-01-31,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/accadeb3-5ecf-4be2-a460-95b8888ae4ba/,
Northrop Grumman Corp,NOC:US,buy,1K–15K,9.0,Tommy Tuberville bought $8000 of Northrop Grumman Corp (NOC:US) on 2022-03-30. He filed the trade after 9 days.,2022-04-08T20:00:50Z,2022-04-08,2022-03-30,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/0f1deb54-a350-4646-9365-899394573269/,
HUMACYTE INC,HUMA:US,buy,15K–50K,9.0,Tommy Tuberville bought $32500 of HUMACYTE INC (HUMA:US) on 2022-03-30. He filed the trade after 9 days.,2022-04-08T20:00:50Z,2022-04-08,2022-03-30,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/0f1deb54-a350-4646-9365-899394573269/,
Morgan Stanley,MS:US,sell,1K–15K,32.0,Tom Carper sold $8000 of Morgan Stanley (MS:US) on 2022-04-01. He filed the trade after 32 days.,2022-05-03T16:10:20Z,2022-05-03,2022-04-01,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/6ce0159a-685e-4766-b036-7e3ec26401a7/,Rate/Coupon: 8.35% Matures: 04/01/2022
W L GORE \u0026 ASSOCIATES INC,,sell,250K–500K,0.0,Chris Coons sold $375000 of W L GORE & ASSOCIATES INC on 2022-05-03. He filed the trade after 0 days.,2022-05-03T18:00:29Z,2022-05-03,2022-05-03,,male,Christopher,Coons,democrat,self,senate,,https://efdsearch.senate.gov/search/view/ptr/8edc0f02-be98-47ca-a4a4-0faa1c0f55da/,"Company: W.L. Gore \u0026 Associates, Inc. (Newark, DE). Description: Advanced materials manufacturing"
NVIDIA Corporation,NVDA:US,sell,15K–50K,28.0,Tommy Tuberville sold $32500 of NVIDIA Corporation (NVDA:US) on 2022-06-15. He filed the trade after 28 days.,2022-07-13T20:00:28Z,2022-07-13,2022-06-15,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/3c3a2143-08cd-4dbb-b217-2b2c76133ce5/,Option Type: Short Sale Strike price: $150.00 Expires: 03/17/2023
NVIDIA Corporation,NVDA:US,buy,15K–50K,28.0,Tommy Tuberville bought $32500 of NVIDIA Corporation (NVDA:US) on 2022-06-15. He filed the trade after 28 days.,2022-07-13T20:00:28Z,2022-07-13,2022-06-15,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/3c3a2143-08cd-4dbb-b217-2b2c76133ce5/,Option Type: Put Strike price: $180.00 Expires: 06/17/2022
Signature Bank,SBNY:US,sell,15K–50K,204.0,Bill Hagerty sold $32500 of Signature Bank (SBNY:US) on 2021-12-28. He filed the trade after 204 days.,2022-07-20T15:00:19Z,2022-07-20,2021-12-28,,male,William,Hagerty,republican,child,senate,,https://efdsearch.senate.gov/search/view/ptr/a285e53c-f72f-4bbb-afaf-0c19ce7e0c5a/,Asset sold in DC 3 Trust
Signature Bank,SBNY:US,sell,15K–50K,204.0,Bill Hagerty sold $32500 of Signature Bank (SBNY:US) on 2021-12-28. He filed the trade after 204 days.,2022-07-20T15:00:19Z,2022-07-20,2021-12-28,,male,William,Hagerty,republican,child,senate,,https://efdsearch.senate.gov/search/view/ptr/a285e53c-f72f-4bbb-afaf-0c19ce7e0c5a/,Asset sold in DC 2 Trust
Signature Bank,SBNY:US,sell,15K–50K,204.0,Bill Hagerty sold $32500 of Signature Bank (SBNY:US) on 2021-12-28. He filed the trade after 204 days.,2022-07-20T15:00:19Z,2022-07-20,2021-12-28,,male,William,Hagerty,republican,child,senate,,https://efdsearch.senate.gov/search/view/ptr/a285e53c-f72f-4bbb-afaf-0c19ce7e0c5a/,Asset sold in DC 1 Trust
Grayscale Ethereum Trust,ETHE:US,buy,1K–15K,427.0,Pat Toomey bought $8000 of Grayscale Ethereum Trust (ETHE:US) on 2021-06-14. He filed the trade after 427 days.,2022-08-16T03:15:19Z,2022-08-15,2021-06-14,,male,Patrick,Toomey,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/3da479a8-e0f2-4a53-b787-4fbbb1f075ab/,Amending to change the asset owner to \
Grayscale Bitcoin Trust,GBTC:US,buy,1K–15K,426.0,Pat Toomey bought $8000 of Grayscale Bitcoin Trust (GBTC:US) on 2021-06-15. He filed the trade after 426 days.,2022-08-16T03:15:19Z,2022-08-15,2021-06-15,,male,Patrick,Toomey,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/3da479a8-e0f2-4a53-b787-4fbbb1f075ab/,Amending to change the asset owner to \
SPDR Gold Trust,GLD:US,sell,1K–15K,23.0,Tom Carper sold $8000 of SPDR Gold Trust (GLD:US) on 2022-08-10. He filed the trade after 23 days.,2022-09-02T20:44:54Z,2022-09-02,2022-08-10,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/ba5ba5e2-085a-45ce-9075-fb818e972877/,
Sprott Physical Gold \u0026 Silver Trust,CEF:US,sell,1K–15K,23.0,Tom Carper sold $8000 of Sprott Physical Gold & Silver Trust (CEF:US) on 2022-08-10. He filed the trade after 23 days.,2022-09-02T20:44:54Z,2022-09-02,2022-08-10,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/ba5ba5e2-085a-45ce-9075-fb818e972877/,
